DATE,N7,TPU_RAW,TPU_SHARE,TPU
38231,43461,124,0.002853133,28.53132694
38261,46664,137,0.002935882,29.3588205
38292,43461,135,0.003106233,31.06233175
38322,42524,128,0.003010065,30.10064905
38353,44550,123,0.002760943,27.60942761
38384,41672,83,0.001991745,19.91745057
38412,45923,106,0.002308212,23.08211572
38443,44121,139,0.003150427,31.50427234
38473,44410,148,0.003332583,33.32582752
38504,43468,168,0.003864912,38.64912119
38534,43201,147,0.003402699,34.02699012
38565,41689,95,0.002278779,22.78778575
38596,44533,102,0.002290436,22.90436306
38626,45988,158,0.003435679,34.35678873
38657,43506,122,0.002804211,28.04210913
38687,42668,137,0.003210837,32.10837161
38718,43529,103,0.002366239,23.662386
38749,41175,100,0.002428658,24.28658166
38777,45637,111,0.002432237,24.32237001
38808,42524,113,0.002657323,26.57322924
38838,43247,117,0.00270539,27.05389969
38869,42844,115,0.002684156,26.84156475
38899,41414,128,0.003090742,30.90742261
38930,41936,88,0.002098436,20.98435712
38961,42557,114,0.00267876,26.78760251
38991,44316,105,0.002369347,23.69347414
39022,43465,113,0.002599793,25.99792937
39052,41148,111,0.002697579,26.97579469
39083,41773,94,0.002250257,22.50257343
39114,38831,107,0.00275553,27.55530375
39142,43810,117,0.002670623,26.70623145
39173,38768,118,0.003043747,30.43747421
39203,36013,107,0.002971149,29.71149307
39234,37929,130,0.003427457,34.27456564
39264,38571,94,0.002437064,24.37064116
39295,40563,94,0.002317383,23.17382837
39326,40006,76,0.001899715,18.99715043
39356,41341,107,0.00258823,25.88229603
39387,40554,111,0.002737091,27.37091286
39417,38497,84,0.002181988,21.81988207
39448,39109,109,0.002787082,27.87082257
39479,37771,94,0.002488682,24.88681793
39508,39262,102,0.002597932,25.97931842
39539,38393,122,0.003177663,31.77662595
39569,39007,100,0.002563642,25.63642423
39600,37235,128,0.003437626,34.3762589
39630,36702,121,0.003296823,32.96823061
39661,38122,99,0.002596926,25.9692566
39692,36846,109,0.002958259,29.58258698
39722,38477,122,0.003170725,31.70725368
39753,36013,104,0.002887846,28.87846056
39783,33200,104,0.00313253,31.3253012
39814,34743,81,0.002331405,23.31404887
39845,32056,84,0.002620414,26.20414275
39873,34262,117,0.003414862,34.14861946
39904,34795,80,0.002299181,22.99180917
39934,35176,75,0.002132136,21.32135547
39965,32624,69,0.002115007,21.15007357
39995,33199,82,0.002469954,24.69953914
40026,32614,95,0.00291286,29.12859508
40057,33390,124,0.003713687,37.13686733
40087,34955,99,0.002832213,28.32212845
40118,33290,93,0.002793632,27.93631721
40148,31817,99,0.003111544,31.11544143
40179,32257,79,0.002449081,24.4908082
40210,30243,57,0.001884734,18.84733657
40238,32917,94,0.002855667,28.55667284
40269,31780,81,0.002548773,25.48772813
40299,33161,71,0.002141069,21.41069328
40330,32137,88,0.002738277,27.38276753
40360,30668,88,0.00286944,28.69440459
40391,29205,87,0.002978942,29.78941962
40422,30798,97,0.003149555,31.49555166
40452,32567,101,0.003101299,31.01298861
40483,30171,92,0.003049286,30.49285738
40513,29494,95,0.003220994,32.209941
40544,29763,90,0.003023889,30.23888721
40575,27252,68,0.00249523,24.95229708
40603,31388,94,0.002994775,29.94775073
40634,29343,93,0.00316941,31.69410081
40664,29776,62,0.002082214,20.82213864
40695,29556,88,0.002977399,29.77398836
40725,28784,88,0.003057254,30.5725403
40756,27894,86,0.0030831,30.83100308
40787,29197,62,0.002123506,21.2350584
40817,30463,112,0.003676591,36.76591275
40848,29684,108,0.003638324,36.38323676
40878,28418,88,0.003096629,30.96628897
40909,29610,88,0.002971969,29.71968929
40940,27950,65,0.002325581,23.25581395
40969,30310,84,0.002771363,27.71362587
41000,28707,63,0.002194587,21.94586686
41030,29019,83,0.002860195,28.60195045
41061,27513,57,0.002071748,20.71747901
41091,26557,78,0.002937079,29.37078736
41122,29090,61,0.002096941,20.96940529
41153,29062,66,0.002271007,22.71006813
41183,29520,82,0.002777778,27.77777778
41214,34072,94,0.002758864,27.58863583
41244,35542,92,0.002588487,25.88486861
41275,45032,103,0.002287262,22.87262391
41306,52803,151,0.002859686,28.59686003
41334,43938,140,0.003186308,31.86307979
41365,36286,41,0.001129912,11.29912363
41395,39230,132,0.003364772,33.64771858
41426,37597,101,0.002686385,26.86384552
41456,36368,89,0.002447206,24.47206335
41487,34891,71,0.002034909,20.34908716
41518,32384,83,0.002562994,25.62994071
41548,34162,114,0.003337041,33.37041157
41579,33428,87,0.002602609,26.02608592
41609,31654,68,0.002148228,21.48227712
41640,33031,76,0.002300869,23.00868881
41671,31344,84,0.002679939,26.79938744
41699,34644,94,0.002713313,27.13312551
41730,33914,83,0.002447367,24.47366869
41760,38132,64,0.00167838,16.78380363
41791,32230,89,0.002761402,27.6140242
41821,30680,62,0.00202086,20.20860495
41852,31018,69,0.002224515,22.24514798
41883,31704,63,0.001987131,19.87130961
41913,34261,72,0.002101515,21.01514842
41944,31562,79,0.00250301,25.03009949
41974,29269,84,0.002869931,28.69930643
42005,29685,79,0.002661277,26.61276739
42036,26595,67,0.002519271,25.1927054
42064,28266,59,0.002087313,20.8731338
42095,27144,58,0.002136752,21.36752137
42125,27164,118,0.004343985,43.43984686
42156,26515,118,0.004450311,44.50311145
42186,26814,71,0.002647871,26.47870515
42217,25690,91,0.003542234,35.42234332
42248,27353,80,0.002924725,29.24724893
42278,28919,154,0.005325219,53.25218714
42309,26041,80,0.003072079,30.72078645
42339,26083,83,0.003182149,31.82149293
42370,27752,100,0.003603344,36.03343903
42401,26391,85,0.003220795,32.20794968
42430,28347,154,0.005432674,54.32673652
42461,27321,128,0.004685041,46.85040811
42491,26471,152,0.005742133,57.421329
42522,23162,173,0.00746913,74.69130472
42552,22122,102,0.004610795,46.10794684
42583,21067,92,0.00436702,43.67019509
42614,24409,108,0.004424597,44.24597485
42644,24772,125,0.00504602,50.460197
42675,20935,233,0.011129687,111.2968713
42705,20314,215,0.010583834,105.8383381
42736,21031,350,0.0166421,166.4209976
42767,18989,233,0.012270262,122.7026173
42795,21969,199,0.009058218,90.58218399
42826,20084,195,0.009709221,97.09221271
42856,21118,115,0.005445591,54.45591439
42887,21126,127,0.00601155,60.11549749
42917,20310,134,0.006597735,65.97735106
42948,20246,111,0.005482564,54.82564457
42979,20856,107,0.005130418,51.30418105
43009,20110,96,0.004773744,47.73744406
43040,18851,83,0.004402949,44.02949446
43070,18181,85,0.00467521,46.75210384
