"Date","Agric","Food","Soda","Beer","Smoke","Toys","Fun","Books","Hshld","Clths","Hlth","MedEq","Drugs","Chems","Rubbr","Txtls","BldMt","Cnstr","Steel","FabPr","Mach","ElcEq","Autos","Aero","Ships","Guns","Gold","Mines","Coal","Oil","Util","Telcm","PerSv","BusSv","Hardw","Softw","Chips","LabEq","Paper","Boxes","Trans","Whlsl","Rtail","Meals","Banks","Insur","RlEst","Fin","Other","RMRF","RF","MacroU","TPU","ShortRate","EPU","FinU"
1991-09-01,-0.0483,-0.033,-0.0992,-0.0462,-0.0207,0.0852,-0.0155,-0.0421,0.0088,0.0274,-0.0194,1e-04,-0.0023,-0.0315,0.0184,0.0428,-0.0494,-0.044,-0.0332,0.022,-0.0387,-0.0584,-0.0232,0.0032,-0.0975,-0.0178,0.0469,0.0306,-0.0039,-0.0068,0.0371,0.0037,0.0188,0.0018,0.0045,0.0232,-0.0731,-0.0288,-0.0176,0.0032,-0.0014,-0.0213,-0.0416,0.019,-0.011,0.0031,-0.0491,0.0101,-0.0552,-0.0159,0.0046,0.580119424,33.19128889,5.7021,127,0.836929551
1991-10-01,-0.0196,-0.0121,-0.0177,0.0209,-0.0574,0.1162,0.0123,2e-04,0.0111,-0.0438,-0.0147,0.0901,0.0692,0.0176,0.0141,-0.0137,-0.0297,-0.0097,-0.0095,-0.0111,-0.0019,-0.001,-0.0238,0.0329,0.0122,0.0337,0.0272,-0.0048,0.0484,0.0203,0.0125,0.019,0.0032,0.0262,-0.0245,0.1037,0.0371,0.0429,0.0389,0.059,0.0756,0.0269,-0.0313,0.0212,0.0082,0.0481,-0.0207,-0.0022,0.0017,0.0129,0.0042,0.571659719,35.72077254,5.4495,108,0.851591776
1991-11-01,-0.0457,2e-04,-0.0043,0.0303,-0.0332,0.0182,-0.0849,-0.0523,-0.0202,-0.0354,-0.0643,-0.0195,-0.0227,-0.0585,-0.0368,-0.0475,-0.0182,-0.0875,-0.0766,-0.0618,-0.0939,-0.055,-0.0877,-0.0591,-0.0505,-0.0272,0.0333,-0.049,-0.1096,-0.0767,0.0189,-0.0475,-0.0313,-0.0301,-0.0507,-0.026,-0.045,-0.0571,-0.0725,-0.0464,-0.0849,-0.0378,-0.0042,-0.0432,-0.0847,-0.02,-0.0636,-0.0358,-0.0226,-0.0419,0.0039,0.572103112,38.60920114,5.0513,141,0.880036897
1991-12-01,0.09,0.1544,0.1426,0.1541,0.149,0.1213,0.0725,0.1259,0.121,0.1513,0.1951,0.1632,0.1641,0.1027,0.1322,0.134,0.1863,0.124,0.07,0.1315,0.0933,0.1829,0.0595,0.0976,0.1577,0.0719,-0.019,0.0258,0.0089,0.0212,0.0499,0.0992,0.1041,0.1208,0.0374,0.1635,0.1104,0.1229,0.1043,0.047,0.1428,0.1148,0.1331,0.1271,0.1551,0.113,0.117,0.1264,0.1549,0.1084,0.0038,0.579835673,41.89790949,4.5177,171,0.900544672
1992-01-01,0.009,-0.0566,-0.0169,-0.0306,-0.0493,0.0099,0.138,0.0274,0.0781,0.0377,-0.0091,-0.0287,-0.0621,0.0105,-0.0073,0.101,0.0245,0.0792,0.0325,0.0789,0.0464,-0.0083,0.1071,0.0398,0.0611,-0.0319,0.0879,0.0532,-0.0938,-0.041,-0.0457,-0.0287,0.0139,0.0054,0.063,0.0703,0.1064,0.0392,0.0349,-0.1041,-0.0108,-0.0184,-0.0039,0.103,0.0176,-0.017,0.0623,0.0374,0.0571,-0.0059,0.0034,0.583999157,51.12756433,4.3577,116,0.870364523
1992-02-01,-0.0325,-0.0077,0.0273,0.0148,0.0024,0.0647,0.1114,0.0592,-0.013,0.0218,-0.0525,-0.0539,-0.021,0.0281,0.0306,0.0824,0.0188,-0.0024,0.0704,0.0171,0.0495,0.0323,0.1441,-0.0328,-0.0078,0.017,-0.0298,0.0371,0.0665,-0.0057,-0.0124,-0.0145,0.0325,0.0278,0.0583,0.0292,0.0386,1e-04,0.0256,0.069,0.0507,0.0309,0.0296,-4e-04,0.0514,0.0015,0.0014,0.0333,-0.0091,0.0109,0.0028,0.582049433,42.27212682,4.5117,155,0.830025066
1992-03-01,-0.0283,-0.0291,-0.0604,0.0137,-0.0383,-0.0274,-0.0108,-0.0113,-0.0199,-0.0396,-0.0604,-0.0459,-0.0563,0.0074,-0.0038,0.0384,-0.0123,-0.0876,-0.0129,-0.048,-0.0198,-0.0288,0.0143,-0.0085,-0.0024,-0.0536,-0.125,-0.0026,-0.049,-0.0273,-0.0053,-0.0083,-0.0333,-0.0187,-0.05,-0.0717,-0.0642,-0.01,2e-04,-0.0137,-0.024,-0.0056,-0.0135,-0.0147,-0.0153,-0.0104,-0.0349,0.0139,-0.119,-0.0266,0.0034,0.574432009,33.2768635,4.8894,97,0.80124436
1992-04-01,-0.0405,-0.0128,0.0048,0.0191,0.0786,0.0109,-0.0251,0.0466,0.0108,-0.0525,-0.058,-0.0452,-0.0167,0.063,0.0059,0.0128,0.0075,-0.01,0.037,-0.0798,0.0147,0.0063,0.1116,0.0211,0.1717,0.0358,-0.039,0.0142,-0.0546,0.0953,0.0269,0.0704,-0.0177,-0.0119,0.0073,-0.0554,-0.0047,-0.005,0.0322,0.0773,0.0277,-0.0099,-0.0461,0.03,0.0277,-0.0058,-0.0448,-0.0044,-0.0148,0.0107,0.0032,0.57504302,39.76808925,4.5587,90,0.779912831
1992-05-01,0.0317,0.0079,-0.0211,0.0361,0.0014,0.066,0.0117,-0.0042,0.0031,-0.0133,-0.0354,0.0309,0.012,-0.0088,-0.0296,-0.0198,0.005,0.0099,0.0096,-0.0675,-5e-04,-0.0042,-0.0189,-0.0197,-0.0744,-0.0338,0.1097,0.0402,-0.0034,0.032,0.0254,-0.0246,-0.0183,0.0033,-0.0051,0.0325,-0.0094,-0.0129,-0.01,0.0013,-0.0037,0.0159,-0.0018,0.0114,0.0306,0.0165,-0.0134,0.0303,-0.0645,0.003,0.0028,0.566591189,33.89059949,4.3974,79,0.759551379
1992-06-01,0.007,1e-04,-0.0262,-0.0549,-0.0928,-0.0191,-0.0396,-0.0311,-0.064,-0.0503,-0.0615,-0.0457,-0.0471,-0.0467,-0.0616,-0.0737,-0.053,-0.0644,0.0195,-0.0465,-0.0584,0.0183,0.0452,-0.047,-0.0828,-0.013,0.1003,0.0647,-0.0972,-0.0346,0.0054,0.0132,0.0029,-0.0246,-0.0213,-0.0992,-0.032,-0.0474,-0.0142,-0.0077,-0.0395,-0.0296,-0.0178,-0.0229,0.0049,0.0306,-0.038,-0.005,-0.0471,-0.0234,0.0032,0.56422541,39.01618848,4.3302,122,0.75604831
